STUDY_ID	SAMPLE_ID	ESR1	ERBB2	PGR	TP53	PIK3CA	GATA3	FOXA1	MLPH
brca_metabric	MB-0059	NA	NA	NA	NA	NA	NA	NA	NA
brca_metabric	MB-0060	8.053281619	9.230217327	8.82856457	5.263823412	5.798128586	8.391922364	11.20125034	10.66773361
brca_metabric	MB-0062	5.965770007	7.789817265	5.164429284	5.444836109	7.332574415	5.98721443	6.461704736	6.266162594
brca_metabric	MB-0064	11.28863214	8.367935598	8.161055632	6.43363789	6.412102844	8.528342797	11.84791363	10.44369934
brca_metabric	MB-0066	11.00784385	10.56640116	5.904242965	5.677915421	5.952876994	10.65732788	11.68630366	11.9287693
brca_metabric	MB-0068	9.824609864	8.939983801	6.327463316	6.293872561	7.047268306	9.143835938	11.78609718	10.79307405
brca_metabric	MB-0071	NA	NA	NA	NA	NA	NA	NA	NA
brca_metabric	MB-0079	6.312633267	9.068777516	5.305683418	6.67399263	7.068623637	5.667747415	10.6909171	9.056929025
brca_metabric	MB-0081	9.336161256	8.631016865	8.421705247	6.331529774	7.623560645	7.176703858	10.5498987	9.424074935
brca_metabric	MB-0083	10.39564413	9.075395894	6.531288198	6.322662287	7.125535472	8.209932304	11.07227661	10.81198434
brca_metabric	MB-0093	8.732003105	9.579870448	7.101680893	6.124970712	7.317508849	8.230417884	11.00976572	9.651659666
brca_metabric	MB-0095	11.36721293	10.13696495	8.466538002	6.07538166	5.791941768	10.20428205	11.89651104	12.11933674
brca_metabric	MB-0097	12.16231531	10.0159405	6.671270038	6.433804645	5.83978006	10.64898702	12.30066845	13.10628099
brca_metabric	MB-0099	NA	NA	NA	NA	NA	NA	NA	NA
brca_metabric	MB-0100	6.204958365	8.881670794	5.172110736	7.072938185	6.18972754	5.687771023	6.311955268	7.963706847
brca_metabric	MB-0101	8.979270445	9.213001909	7.176244377	6.0770362	5.649718411	9.758730592	10.82066129	12.25001855
brca_metabric	MB-0102	9.91316314	9.980731996	7.651019783	6.431794377	5.970082234	9.402293715	11.05292987	11.47455873
brca_metabric	MB-0106	9.916296124	11.21234999	5.935891762	6.17850875	5.968184052	11.82466497	11.80267142	11.74351214
brca_metabric	MB-0107	10.66142094	9.162085251	6.446050207	7.605603485	7.417951364	9.171369661	11.77862202	9.163342287
brca_metabric	MB-0108	8.90366771	8.15101493	5.486929135	5.944936381	7.675146289	7.031172082	9.866770408	8.665835911
brca_metabric	MB-0109	9.829333475	10.21408114	7.816111591	5.977853397	6.362350546	9.959464457	11.40868914	11.44379424
brca_metabric	MB-0110	NA	NA	NA	NA	NA	NA	NA	NA
brca_metabric	MB-0111	10.78052512	10.61197957	6.098337524	6.486339723	5.929293972	10.65504247	11.70273843	10.80545988
brca_metabric	MB-0112	9.185199903	9.580607379	5.48088774	6.06856252	5.513442446	10.33450058	11.51339511	12.18577818
brca_metabric	MB-0113	7.25956035	14.46428166	5.340178971	6.548146657	5.828685428	9.735888641	11.83642181	12.3880489
brca_metabric	MB-0114	10.59470076	11.64310961	7.685481886	6.929252171	5.918055576	10.73452854	11.88864596	12.94212545
brca_metabric	MB-0115	5.642173006	9.441958029	5.648774569	6.898177595	5.978315814	6.828369018	5.790007742	7.070762344
brca_metabric	MB-0116	10.47206743	10.4406743	6.954702934	6.363459982	6.38971576	9.448559582	11.58620667	11.88389449
brca_metabric	MB-0117	10.33680127	10.06662387	5.111469871	6.410019287	5.753273401	10.86601271	11.68175802	12.31082982
brca_metabric	MB-0119	11.47676788	11.12560206	5.66959389	6.15912323	5.915559307	10.55584666	11.43910654	11.72141209
brca_metabric	MB-0120	8.490343921	12.46854055	5.7172417	5.817550506	6.545388843	9.992555297	11.46685686	10.62931632
brca_metabric	MB-0121	10.65252624	10.71643643	5.54500892	6.039752745	5.475051885	11.15389163	11.51949912	12.11705921
brca_metabric	MB-0122	10.34474549	11.19776459	6.08085339	6.019887867	6.031342971	11.99001566	12.15079528	12.31197687
brca_metabric	MB-0123	11.5655223	9.13407708	7.00819832	6.023612417	5.848327125	10.35411448	11.98376661	11.89475354
brca_metabric	MB-0124	9.238996572	10.1991722	7.365640715	5.987757116	6.073793272	11.19545041	11.12198039	12.15715998
brca_metabric	MB-0125	11.66166069	10.3614153	8.427522351	6.052159013	5.770959823	10.76525764	12.37008361	13.1107229
